Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Applications have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
9/30/2020 18:22:36,STA 518,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Working on activities in class and in a group has been the best so far. This is the case, since it provides an opportunity to code together as a group and ask for help when problems arise.","I would change the journal requirement since I have benefited to much from doing a few of them. Also, trying to come up with an idea for an entry can be difficult at times and sometimes results in a forced entry with little thought behind the writing.","I need to make a habit of breaking code down and testing the result at each line, so that I know how it works and could potentially answer a problem in another assignment.","Although, I mentioned that the activities in class are the best aspect in the course, the other assignments are also really nice and helpful. The projects and applications really allow me to test my skill and knowledge. Based on the first application I was able to learn a bit more from the learning target that I was not able to fulfill. Which means I might have a better chance on the next application to attempt that learning target."
9/30/2020 18:24:14,STA 518,Moderately agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Moderately agree,Strongly agree,Moderately agree,Strongly agree,I really enjoy the activities and projects. They really help me understand my progress and also makes me more comfortable with R.,Some questions asked in the activities are a little unclear. So maybe more specification or details with questions could help.,I need to read the textbook more and go through examples. Create a habit of reading it for at least 30 minutes a day.,
9/30/2020 18:30:53,STA 418,Slightly agree,Moderately agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,I have enjoyed learning the base work for R coding. , I would enjoy the class more if there were more lecture aspects and examples besides learning most of it on our own in Prep Primers.,I need to be more diligent in note taking to accumulate all of the functions and purposes in one location.,
9/30/2020 18:35:37,STA 518,Strongly agree,Strongly agree,Moderately agree,Slightly agree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Learning how to use R effectively.,"Maybe more singular activities as compared to team activities, but I do like the set up as is.",Find better sources for when I have questions about coding. I could do this by building a list of websites and/or forums that I ave found useful in the past.,
9/30/2020 19:37:34,STA 418,Slightly agree,Moderately agree,Moderately agree,Strongly disagree,Slightly agree,Slightly disagree,Moderately disagree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,"I really like the R Studio primers. They explain things really well, and I like the option to see a solution if what I have isn't quite working right.",I am not a fan of the learning journals. I really just forget that I'm supposed to be doing them and other times I don't know what to say in them.,"I need to organize my notes. I like to take notes on each of the R studio primer activities and readings, but I need to do a better job of describing what each function does and how to use it. I know that you can type things like ?filter into the console to easily find the basics, but some of the language used in those descriptions does not help me, so I prefer to have it written out in my own words with examples. ","I'm just hoping that things start ""clicking"" for me soon because in all honesty, I was looking up the withdrawal deadline the other day. I plan on utilising office hours more to clarify any questions I have, which should help, but this class has been super difficult for me thus far. "
9/30/2020 20:32:38,STA 518,Strongly agree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I really like that we are broken into smaller groups because that is what I am more comfortable with versus asking questions in front of the whole class. ,"Although they are helpful, there are a lot of preparations, I feel like they should just all be due at the beginning of the week simply because it is a lot to keep track of and having it all on one day is more convenient. ",I can try to work ahead a little more so that I'm not doing things the night before. ,
9/30/2020 20:46:21,STA 418,Moderately agree,Strongly agree,Moderately disagree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,I think R is a great coding language and will be very helpful for me. ,I would change the team format for class. I have a hard time getting my teamates to cooperate. ,I could take more notes during the readings. ,"I definitely feel like the team format is really hard to manage with the online format. I feel especially for the follow ups, I have a very hard time getting my teammates to follow through.  "
9/30/2020 21:23:20,STA 418,Slightly agree,Strongly agree,Moderately agree,Moderately disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Moderately disagree,Slightly agree,Moderately agree,working with groups is helpful,"Learning from the professor. Class has been read the book, do the primers, and group activity. We have not done anything as a class as a whole or anything really with our professor. ","Do more learning journals, I just am so overwhelmed still with class work from all my classes that they get pushed pretty low on the priority list. Breaks are necessary to prevent burnout and I rarely have time to take a break.",
9/30/2020 21:26:35,STA 418,Moderately agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Slightly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,How easy it is to ask Bradford questions during class,"Answer keys. I really like that the primers have solutions, so that when I'm struggling I can get an idea of what I need to do and it's easier to understand and learn. It would be nice to have this experience for our activities.","Pay closer attention to how I'm learning and keeping track of some, if not all, learned functions (making a class-wide ""cheat sheet"" would be pretty cool too).",
9/30/2020 22:34:01,STA 518,Slightly agree,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Moderately agree,Strongly disagree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Team work,course load is heavy,NA,
9/30/2020 22:59:56,STA 518,Moderately disagree,Strongly agree,Strongly agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Moderately disagree,Strongly agree,Strongly agree,Strongly agree,"by far, the R primers","videos or lectures where the instructor provides a basic/simpler description of the topics. Often times, when I ask for help, he describes it very simply that takes less than a minute to clear things up. Having these descriptions first before beginning the coursework would probably have much less confusing spots","By far, it's to be proactive with the learning modules.",
9/30/2020 23:22:15,STA 418,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Moderately agree,Moderately agree,Moderately agree,Slightly agree,Slightly agree,Strongly agree,Moderately agree,The activities that allow us to implement R programming features are interesting and fun.,Eliminate the learning journals. They don't seem to be a useful and necessary part of the course learning and grading. They are mostly tedious.,Designate time every day to work on specifically this class material.,
10/1/2020 1:13:44,STA 518,Moderately agree,Moderately agree,Slightly agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,easily accessible R documentation,In person factor even though its not possible,Practice R everyday,
